ファイル名,discription
Other11_RStorm_Division-C,The action of pressing something onto the ground.
Other12_DRave,"The movement involves attacking in the order of punches, kicks, and then a final attack, similar to a kamehameha wave, with both hands thrust forward."
Other13_TRanki,"After assuming a poised stance, perform a spinning kick with a full body rotation, landing on the knees. Then, drop the shoulders in a gesture of disappointment as an attacking movement."
Other14_IBridge,"Attack movement where you jump from a poised stance to a bridge posture, and then return to the poised stance."
StayG01_Stay,"The attacking motion consists of assuming a crouching, ready stance."
StayG02_SSKick,"After a backflip, perform a kick and then execute a crouching attack movement."
StayG03_Guard,The defensive movement of assuming a crouched position and taking a guard to protect against attacks.
StayG04_LowKick,The attack movement of delivering a spinning low kick.
StayG05_SonicBoom,The attacking motion of grabbing the opponent firmly with both hands.
StayG06_JumpKick,The attack action of performing a jump kick upwards.
StudioMaron_ClothCheck,"Cute and charming, they hold up a peace sign with their left hand in front of their left eye, then they spin their body five times while dancing, and finally, they strike another adorable peace pose as their finishing move."
TaiSp01_Syoryu,The attack motion of performing the Shoryuken (Rising Dragon Fist).
TaiSp01_Syoryu_Division1-Start,A feint attack motion that executes the preceding movement of a Shoryuken.
TaiSp01_Syoryu_Division2-Normal,The attacking move of performing a Shoryuken.
TaiSp02_ShinSyoryu,The attack motion of unleashing the Shin Shoryuken.
TaiSp02_Syouryu_Division3-Shin,"Attack motion of unleashing the ""Shin Shoryuken"""
TaiSp03_Tatsumaki,The attack motion of unleashing the Tornado Whirlwind Kick.
TaiSp03_Tatsumaki_Division-A,The preparatory attack movement before unleashing a Tornado Spiral Kick.
TaiSp03_Tatsumaki_Division-B,The attack motion involves spinning the leg and performing a tornado whirlwind kick with one rotation.
TaiSp03_Tatsumaki_Division-C,"Performing a spinning motion with the legs, execute a tornado whirlwind kick that completes two rotations."
TaiSp04_UriaJou,Attack movement where you rotate the body 10 times while extending your arms to the left and right.
TaiSp04_UriaJou_Division-A,"A attacking movement where one stretches their arms out to the left and right, and then spins their body three times."
TaiSp04_UriaJou_Division-B,An attacking move where you rotate your body twice while extending your arms to the left and right.
TaiSp04_UriaJou_Division-C,"An attack motion where you extend your arms to the left and right, rotate your body three times, and then assume a ready position."
TaiSp05_SPDriver,"The attack maneuver known as ""screw piledriver"" performed on the opponent."
TaiSp06_GCutter,"The attack motion involves raising the right leg, followed by the left leg, and then squatting down with the buttocks facing the opposite direction."
Tobi01_Hadou,The attack motion of extending both hands and performing a Hadouken attack.
Tobi01_Hadou_Division-A,The attack motion involves thrusting both hands forward in preparation for a Hadouken attack.
Tobi01_Hadou_Division-C,Attack action of throwing a Hadouken
Tobi02_PWave,The attack motion of hitting the ground.
Tobi03_Haow,"The defensive attack motion involves crouching with both hands guarding, and then thrusting both hands forward to launch an attack."
Tobi04_Orochi_Division-C,"The attack movement involves stepping forward and pushing away with the right hand, followed by a decisive pose of raising the index finger of the left hand."
Toss01_Doskoi,"Edmond Honda's powerful attack involves stomping the ground, then performing a headbutt, and then squatting down once again. It is a move inspired by sumo wrestling techniques."
Toss02_GPhantom,"The body writhes, then gathers momentum, and finally closes in quickly to deliver a right punch, an attack motion."
Toss03_BWolf,The attacking movement involves twisting the body and thrusting out the left hand to attack.
Toss04_Tenti,"The judo technique involves creating a fist with your hand and then extending your left hand to execute an attack. After the attack, you perform a judo-like finishing pose as part of the attacking movement."
Toss04_Tenti_Division-A,Judo-style provocative movement. It is a provocation in which you rotate your right arm and show a fist to your opponent.
Toss04_Tenti_Division-C,A judo-like attacking movement that involves following up with a lingering gesture after an attack with the right hand.
AA_01,"Bend your right elbow and turn your right palm upwards. Then, sway your upper body from side to side, starting from your waist. After that, do the same with your left palm facing upwards, and sway your waist from side to side. These are the movements for the guided explanation."
AA_02,"Making a fist with both hands and bending the elbows left and right, shaking the hands up and down in a cute movement. This gesture is used to express effort and determination, as well as cutely getting angry."
AA_03,"A cute gesture that involves making a fist with both hands, bending the elbows on each side, and shaking the hands up and down. This gesture is often used to express efforts and determination, or when someone wants to express cuteness while being angry."
AA_04,Placing your right hand near your chin is a gesture that expresses contemplation or deep thought.
AA_05,"This gesture involves raising your right hand, opening your palm, and waving your hand back and forth. It is a common gesture used to call someone."
AA_06,"It is a gesture used to express a question or when pointing to an object behind oneself. It involves raising the right hand high, with the palm facing upwards, and shaking the head from side to side."
AA_07,"Raise your right hand high, with your palm facing up, and shake your head back and forth. This is a gesture used to point to something behind you and indicate that you agree or are satisfied with it."
AA_08,"Raise your right hand high, palm facing upward, and shake your head back and forth. This motion is used to point to something behind you and indicates your approval or agreement."
AA_09,The action of making fists with both hands and swinging them on either side of the body is an expression of cute anger.
AA_10,This movement represents expressing anger in a cute way by making fists with both hands and swinging them behind your body from left to right.
AA_11,The gesture of cutely bowing with the right hand. It is a gesture used to greet someone or to express agreement and understanding.
AA_12,The gesture of cutely bowing with your right hand. It is a gesture of greeting or indicating agreement.
AA_13,The motion of bowing with the right hand. It is a gesture made when giving a serious response or showing understanding.
AA_14,"The action you are describing is one where you bend both elbows to a 90-degree angle, with the palms of both hands facing upwards, and then shaking the hands up and down. This motion is commonly used to indicate questioning or to convey that you are explaining something."
AA_15,"The action used to explain is to bend both elbows at a 90-degree angle, hold both hands in the shape of a ""peace"" sign in front of your chest, and shake your hands."
AA_16,"This gesture is used when pleading or expressing agreement. It involves bending both elbows at a 90-degree angle, placing both hands in a fist position in front of the chest, and gently shaking the hands."
AA_17,"This motion is used when someone feels embarrassed or when they have made an unexpected remark. With both elbows bent at a 90-degree angle, one places both hands in a ""peace"" sign position in front of their mouth and shakes or wiggles their hands. It is a gesture used to hide one's mouth."
AA_18,"Bowing one's head and hunching the waist, accompanied by a relaxed posture. This gesture is used when feeling disappointed or let down by something that did not meet expectations."
AA_19,Raise both hands up and jump twice enthusiastically. This action represents expressing joy.
AA_20,Raise both hands up and jump multiple times. This is an expression of joy.
AC_01,"A motion of blowing a kiss. After placing both hands to the lips, spread both hands apart. When spreading, stand on the left foot."
AC_02,"A motion of blowing a kiss. After placing one hand to the lips, open the palm and lean the waist forward in a cute gesture."
AC_03,A motion to convey the need for quiet. Raise the right index finger and bring it in front of the mouth as a 'be quiet' gesture.
AC_04,"A gesture of shooting a finger gun. Make a gun shape with the right hand, support it with the left hand, and mimic the action of shooting."
AC_05,A cute gesture imitating a cat. Curl both hands cutely like cat paws and make a gesture that seems like saying 'meow!
AC_06,"The action of pointing the right index finger and touching one's chin. This movement is used when feeling troubled, pondering, or expressing doubt or disdain towards someone."
AC_07,"A gesture of making a peace sign with both hands in front of one's face, doing a double peace sign. When doing the double peace sign, stand on the right foot."
AC_08,A gesture of making a small 'X' with both hands. This movement is used to indicate prohibition or disagreement.
AC_09,A gesture that shows determination or effort by making a fist with the right hand and holding it in front of oneself.
AC_10,Make a heart shape with both hands in front of yourself. It's a cute gesture to express love to someone.
AC_11,"Use both hands to make one side of a large heart. Spread both hands widely in a 'Y' shape and bend your waist to the left, representing one side of a large circle or heart with both hands."
AC_12,"Use both hands to make one side of a large heart. Spread both hands widely in a 'Y' shape and bend your waist to the right, representing one side of a large circle or heart with both hands."
AC_13,"Place both hands on your head to make a gesture that resembles rabbit ears. During the gesture, mimic a rabbit by hopping twice off the ground."
AC_14,Make a gesture of holding a finger gun. Form the shape of a gun with your right hand and support it with your left hand.
AC_15,"Perform a dance by rhythmically swinging both arms right and left, right and left. It's a movement used to energize and hype up the audience."
AC_16,"Hold a microphone in your right hand, say two to three words, and then gesture as if turning the microphone towards someone else for an interview. After the interview, applaud with your left hand."
AC_17,"A dance move using the whole body, stepping left and right. While stepping side to side, swing both hands up and down cutely in sync with the steps."
AC_18,"A move where you step right and left while clasping your hands behind you and emphasizing your chest. The steps are rhythmically right, right, left, left, while accentuating your chest."
AC_19,"A full-body movement where you step in a rightward rotating circle. While stepping, swing both hands up and down and move around."
AC_20,A gesture of waving both hands. Wave your hands across a 180-degree arc in front of you. It's a movement that expresses gratitude or farewell.
